Episode,TotalReward,MovingAvgReward,EpisodeLength,Loss,MeanQ,Epsilon,ExplorationRate
101,4.470000000000258,-70.64709999999964,3634,0.8658875226974487,8.561735153198242,0.24441841749782048,0.25
102,99.99999999998711,-67.98099999999971,4316,1.3974058628082275,7.97296142578125,0.24218865942705953,0.375
103,105.94999999999328,-64.24769999999991,3641,12.458291053771973,10.012735366821289,0.24209768779905233,0.25
104,33.43999999998965,-60.92200000000003,3462,0.09258002042770386,8.303925514221191,0.23820177615653398,0.25
105,131.88000000000991,-57.442700000000244,3698,0.06921172142028809,8.27734661102295,0.23708412155281774,0.125
106,135.3499999999997,-53.80110000000024,4411,0.22465673089027405,7.514997482299805,0.23304331652094717,0.125
107,71.78999999998216,-49.38200000000036,4022,0.06900349259376526,6.0796732902526855,0.2283286771898966,0.375
108,110.4499999999917,-46.314300000000664,3106,0.04521515592932701,8.15615463256836,0.22754570402718666,0.125
109,56.349999999995156,-42.06390000000089,3591,0.1473756730556488,8.694757461547852,0.22649398572030224,0.125
110,81.73999999999278,-39.23990000000101,3457,0.10318971425294876,7.159676551818848,0.22382567916341495,0.0
111,115.92999999999925,-35.79410000000115,3818,0.04849430173635483,8.533844947814941,0.2219723967912729,0.125
112,220.97000000001663,-33.209100000001136,3969,0.7919637560844421,5.744640827178955,0.2179139078068152,0.625
113,106.46999999999143,-28.504600000001055,3774,0.08090711385011673,7.158971786499023,0.21787618139286516,0.25
114,145.55000000001746,-25.092600000001195,3241,0.05112428963184357,8.310381889343262,0.21686679282491922,0.25
115,55.77999999999394,-20.34050000000116,3158,0.049435846507549286,7.311037063598633,0.21310026920119324,0.125
116,43.920000000004876,-17.728700000001268,3304,1.5908472537994385,8.681851387023926,0.2117556468512392,0.25
117,112.78000000000021,-14.622900000001358,3728,1.6961448192596436,6.552504539489746,0.20897023410437265,0.125
118,186.81000000001626,-11.451900000001446,3370,0.9255492687225342,8.473435401916504,0.20659053983956088,0.375
